time,val
-604680000,1.044
-604620000,1.52
-604560000,3.038
-604500000,2.974
-604440000,2.846
-604380000,2.848
-604320000,2.858
-604260000,2.472
-604200000,0.658
-604140000,0.838
-604080000,2.608
-604020000,2.598
-603960000,2.56
-603900000,2.526
-603840000,2.472
-603780000,1.658
-603720000,0.422
-603660000,0.79
-603600000,2.436
-603540000,2.396
-603480000,2.338
-603420000,2.304
-603360000,0.276
-603300000,0.712
-603240000,2.332
-603180000,2.344
-603120000,2.354
-603060000,2.332
-603000000,2.368
-602940000,0.612
-602880000,0.286
-602820000,1.952
-602760000,2.376
-602700000,2.374
-602640000,2.406
-602580000,1.004
-602520000,0.388
-602460000,1.458
-602400000,2.48
-602340000,2.454
-602280000,2.468
-602220000,2.028
-602160000,0.382
-602100000,0.902
-602040000,2.466
-601980000,2.456
-601920000,2.45
-601860000,2.448
-601800000,0.93
-601740000,0.286
-601680000,1.376
-601620000,2.456
-601560000,2.456
-601500000,2.444
-601440000,2.122
-601380000,0.356
-601320000,0.952
-601260000,2.426
-601200000,2.42
-601140000,2.412
-601080000,1.008
-601020000,0.43
-600960000,2.676
-600900000,3.766
-600840000,4.582
-600780000,5.282
-600720000,2.362
-600660000,3.25
-600600000,4.618
-600540000,5.242
-600480000,4.86
-600420000,3.738
-600360000,3.426
-600300000,5.254
-600240000,5.246
-600180000,5.216
-600120000,3.858
-600060000,2.822
-600000000,3.84
-599940000,4.636
-599880000,4.634
-599820000,4.652
-599760000,3.13
-599700000,1.756
-599640000,3.478
-599580000,4.5
-599520000,3.552
-599460000,3.94
-599400000,2.44
-599340000,2.08
-599280000,3.652
-599220000,4.432
-599160000,4.46
-599100000,2.186
-599040000,2.358
-598980000,3.954
-598920000,3.746
-598860000,3.944
-598800000,3.68
-598740000,1.67
-598680000,3.214
-598620000,4.5
-598560000,3.8
-598500000,2.664
-598440000,2.528
-598380000,2.668
-598320000,4.256
-598260000,4.126
-598200000,3.216
-598140000,0.574
-598080000,2.344
-598020000,3.804
-597960000,4.622
-597900000,3.218
-597840000,0.774
-597780000,0.572
-597720000,1.952
-597660000,2.608
-597600000,2.6
-597540000,2.568
-597480000,1.334
-597420000,0.362
-597360000,1.238
-597300000,2.448
-597240000,2.426
-597180000,1.794
-597120000,0.288
-597060000,0.608
-597000000,2.426
-596940000,2.442
-596880000,2.428
-596820000,0.674
-596760000,0.306
-596700000,2.09
-596640000,2.508
-596580000,2.228
-596520000,0.308
-596460000,0.29
-596400000,2.442
-596340000,2.514
-596280000,2.506
-596220000,0.388
-596160000,0.538
-596100000,2.496
-596040000,2.47
-595980000,2.448
-595920000,0.82
-595860000,0.308
-595800000,2.45
-595740000,2.432
-595680000,2.444
-595620000,1.97
-595560000,0.256
-595500000,0.508
-595440000,2.37
-595380000,2.352
-595320000,2.14
-595260000,0.212
-595200000,0.992
-595140000,2.362
-595080000,2.384
-595020000,1.928
-594960000,0.218
-594900000,0.656
-594840000,2.398
-594780000,2.412
-594720000,1.672
-594660000,0.226
-594600000,1.632
-594540000,2.352
-594480000,2.328
-594420000,0.732
-594360000,0.206
-594300000,2.332
-594240000,2.39
-594180000,2.476
-594120000,0.604
-594060000,0.38
-594000000,1.774
-593940000,2.52
-593880000,2.542
-593820000,2.228
-593760000,0.59
-593700000,1.354
-593640000,2.734
-593580000,2.734
-593520000,2.002
-593460000,0.472
-593400000,0.876
-593340000,2.324
-593280000,2.342
-593220000,2.326
-593160000,0.302
-593100000,0.208
-593040000,2.022
-592980000,2.356
-592920000,2.346
-592860000,2.24
-592800000,0.224
-592740000,0.424
-592680000,2.344
-592620000,2.308
-592560000,2.338
-592500000,1.48
-592440000,0.222
-592380000,0.82
-592320000,2.352
-592260000,2.312
-592200000,2.324
-592140000,0.232
-592080000,0.342
-592020000,1.94
-591960000,2.456
-591900000,2.448
-591840000,1.838
-591780000,0.32
-591720000,1.154
-591660000,2.442
-591600000,2.41
-591540000,2.282
-591480000,0.32
-591420000,0.812
-591360000,2.446
-591300000,2.426
-591240000,2.41
-591180000,0.436
-591120000,0.492
-591060000,2.424
-591000000,2.392
-590940000,2.382
-590880000,0.754
-590820000,0.412
-590760000,2.354
-590700000,2.412
-590640000,2.426
-590580000,1.384
-590520000,0.292
-590460000,1.33
-590400000,2.396
-590340000,2.422
-590280000,2.402
-590220000,0.43
-590160000,0.666
-590100000,2.42
-590040000,2.39
-589980000,2.446
-589920000,0.978
-589860000,0.4
-589800000,2.432
-589740000,2.5
-589680000,2.52
-589620000,0.788
-589560000,0.402
-589500000,2.238
-589440000,2.512
-589380000,2.486
-589320000,1.936
-589260000,0.376
-589200000,0.908
-589140000,2.336
-589080000,2.346
-589020000,2.328
-588960000,1.708
-588900000,0.206
-588840000,0.516
-588780000,2.426
-588720000,2.43
-588660000,2.424
-588600000,2.306
-588540000,0.288
-588480000,0.756
-588420000,3.498
-588360000,3.522
-588300000,3.46
-588240000,3.434
-588180000,1.646
-588120000,1.336
-588060000,2.874
-588000000,3.41
-587940000,3.412
-587880000,3.386
-587820000,1.844
-587760000,1.414
-587700000,3.352
-587640000,3.5
-587580000,3.516
-587520000,3.174
-587460000,1.428
-587400000,1.994
-587340000,3.492
-587280000,3.46
-587220000,3.492
-587160000,3.482
-587100000,1.492
-587040000,1.326
-586980000,3.282
-586920000,3.422
-586860000,3.424
-586800000,3.254
-586740000,1.32
-586680000,2.294
-586620000,3.4
-586560000,3.402
-586500000,3.418
-586440000,2.994
-586380000,1.326
-586320000,2.02
-586260000,3.378
-586200000,3.372
-586140000,3.374
-586080000,3.426
-586020000,1.462
-585960000,1.834
-585900000,3.462
-585840000,3.486
-585780000,2.91
-585720000,0.936
-585660000,0.338
-585600000,1.926
-585540000,2.42
-585480000,2.438
-585420000,2.43
-585360000,2.454
-585300000,0.424
-585240000,0.716
-585180000,2.462
-585120000,2.46
-585060000,2.418
-585000000,1
-584940000,0.298
-584880000,1.65
-584820000,2.31
-584760000,2.332
-584700000,2.242
-584640000,0.224
-584580000,0.752
-584520000,2.33
-584460000,2.322
-584400000,2.312
-584340000,0.76
-584280000,0.364
-584220000,2.336
-584160000,2.312
-584100000,2.332
-584040000,0.856
-583980000,0.864
-583920000,2.302
-583860000,2.324
-583800000,1.852
-583740000,0.226
-583680000,2.184
-583620000,2.38
-583560000,1.92
-583500000,0.254
-583440000,2.164
-583380000,2.554
-583320000,2.026
-583260000,0.414
-583200000,2.106
-583140000,2.522
-583080000,2.076
-583020000,0.402
-582960000,2.118
-582900000,2.486
-582840000,1.34
-582780000,0.666
-582720000,2.44
-582660000,2.426
-582600000,1.278
-582540000,0.43
-582480000,2.426
-582420000,2.382
-582360000,2.406
-582300000,0.33
-582240000,1.208
-582180000,2.406
-582120000,2.442
-582060000,2.426
-582000000,2.432
-581940000,2.414
-581880000,0.484
-581820000,0.312
-581760000,2.352
-581700000,2.428
-581640000,2.582
-581580000,2.784
-581520000,2.68
-581460000,1.42
-581400000,0.908
-581340000,3.194
-581280000,3.328
-581220000,2.67
-581160000,1.238
-581100000,1.12
-581040000,0.592
-580980000,0.8
-580920000,0.82
-580860000,0.796
-580800000,0.798
-580740000,0.694
-580680000,0.694
-580620000,0.758
-580560000,0.682
-580500000,0.664
-580440000,0.642
-580380000,0.66
-580320000,0.636
-580260000,0.66
-580200000,0.638
-580140000,0.478
-580080000,0.316
-580020000,0.33
-579960000,0.38
-579900000,0.522
-579840000,0.422
-579780000,0.262
-579720000,0.22
-579660000,0.246
-579600000,0.212
-579540000,0.242
-579480000,0.222
-579420000,0.24
-579360000,0.216
-579300000,0.228
