Milliseconds ago,r_asn
-604426299,701
-604053886,714
-603681473,1239
-603309060,1680
-602936647,2514
-602564234,3320
-602191821,3561
-601819408,4134
-601446995,5617
-601074582,6478
-600702169,6713
-600329756,7132
-599957343,9105
-599584930,10738
-599212517,10994
-598840104,12334
-598467691,12524
-598095278,12542
-597722865,13343
-597350452,13446
-596978039,13462
-596605626,13867
-596233213,13989
-595860800,14501
-595488387,16755
-595115974,17228
-594743561,19262
-594371148,19444
-593998735,20258
-593626322,20299
-593253909,20685
-592881496,21003
-592509083,24915
-592136670,29571
-591764257,32636
-591391844,680
-591019431,1239
-590647018,2828
-590274605,3265
-589902192,4134
-589529779,4804
-589157366,4808
-588784953,6713
-588412540,6830
-588040127,8282
-587667714,9768
-587295301,11908
-586922888,12859
-586550475,14501
-586178062,14777
-585805649,14778
-585433236,15557
-585060823,19548
-584688410,24915
-584315997,1312
-583943584,3561
-583571171,3659
-583198758,4323
-582826345,5617
-582453932,5661
-582081519,7018
-581709106,7132
-581336693,7377
-580964280,14501
-580591867,19918
-580219454,29863
-579847041,33260
-579474628,33650
-579102215,36114
-578729802,1239
-578357389,2152
-577984976,4134
-577612563,4808
-577240150,11908
-576867737,14501
-576495324,15290
-576122911,17429
-575750498,24915
-575378085,1239
-575005672,1668
-574633259,3356
-574260846,3561
-573888433,4323
-573516020,8282
-573143607,11908
-572771194,14501
-572398781,14778
-572026368,24915
-571653955,31976
-571281542,2152
-570909129,3561
-570536716,4134
-570164303,4808
-569791890,8070
-569419477,8075
-569047064,11908
-568674651,13867
-568302238,14366
-567929825,14501
-567557412,15290
-567184999,24915
-566812586,1239
-566440173,4134
-566067760,4808
-565695347,4837
-565322934,10565
-564950521,11908
-564578108,12968
-564205695,14501
-563833282,15290
-563460869,17429
-563088456,19548
-562716043,109
-562343630,2152
-561971217,3356
-561598804,3491
-561226391,3561
-560853978,3582
-560481565,4513
-560109152,6432
-559736739,7805
-559364326,7859
-558991913,8070
-558619500,9156
-558247087,10565
-557874674,10763
-557502261,12222
-557129848,15169
-556757435,15290
-556385022,15830
-556012609,16759
-555640196,17210
-555267783,18924
-554895370,19306
-554522957,21844
-554150544,22277
-553778131,22822
-553405718,25969
-553033305,26085
-552660892,26101
-552288479,26229
-551916066,29720
-551543653,32934
-551171240,33419
-550798827,25
-550426414,26
-550054001,109
-549681588,209
-549309175,557
-548936762,786
-548564349,1103
-548191936,1653
-547819523,1668
-547447110,2152
-547074697,2386
-546702284,2834
-546329871,3356
-545957458,3561
-545585045,3701
-545212632,3999
-544840219,4266
-544467806,5653
-544095393,5662
-543722980,6140
-543350567,6453
-542978154,6939
-542605741,7805
-542233328,8001
-541860915,8070
-541488502,8075
-541116089,8468
-540743676,10913
-540371263,12552
-539998850,13890
-539626437,15169
-539254024,15290
-538881611,17374
-538509198,21844
-538136785,22205
-537764372,22822
-537391959,22982
-537019546,27357
-536647133,33554
-536274720,102
-535902307,209
-535529894,559
-535157481,701
-534785068,1239
-534412655,2152
-534040242,2911
-533667829,3356
-533295416,3561
-532923003,4267
-532550590,5779
-532178177,6432
-531805764,6453
-531433351,7224
-531060938,7743
-530688525,8070
-530316112,8075
-529943699,8912
-529571286,10565
-529198873,10763
-528826460,10794
-528454047,11266
-528081634,11486
-527709221,11499
-527336808,12182
-526964395,12217
-526591982,12222
-526219569,14779
-525847156,14780
-525474743,15169
-525102330,16509
-524729917,17110
-524357504,22758
-523985091,26101
-523612678,30217
-523240265,33419
-522867852,36088
-522495439,209
-522123026,701
-521750613,766
-521378200,2514
-521005787,2711
-520633374,2819
-520260961,2856
-519888548,3269
-519516135,3320
-519143722,3561
-518771309,4766
-518398896,5462
-518026483,9038
-517654070,9708
-517281657,10139
-516909244,11351
-516536831,12322
-516164418,12542
-515792005,12946
-515419592,13462
-515047179,13749
-514674766,15802
-514302353,17506
-513929940,17858
-513557527,19262
-513185114,20401
-512812701,22909
-512440288,24093
-512067875,26085
-511695462,26101
-511323049,28573
-510950636,33651
-510578223,33657
-510205810,35916
-509833397,766
-509460984,2852
-509088571,2856
-508716158,3265
-508343745,3269
-507971332,3354
-507598919,3549
-507226506,3561
-506854093,4134
-506481680,4323
-506109267,4766
-505736854,4808
-505364441,4812
-504992028,4837
-504619615,5432
-504247202,6478
-503874789,7132
-503502376,11351
-503129963,11427
-502757550,11908
-502385137,12302
-502012724,12322
-501640311,13571
-501267898,13749
-500895485,13767
-500523072,14777
-500150659,14778
-499778246,15169
-499405833,16852
-499033420,17184
-498661007,19548
-498288594,19945
-497916181,22773
-497543768,32244
-497171355,33287
-496798942,33653
-496426529,36727
-496054116,174
-495681703,766
-495309290,1312
-494936877,2637
-494564464,2915
-494192051,3557
-493819638,3561
-493447225,4323
-493074812,7018
-492702399,7132
-492329986,7377
-491957573,12513
-491585160,13749
-491212747,29863
-490840334,766
-490467921,3269
-490095508,3354
-489723095,3593
-489350682,4134
-488978269,4808
-488605856,4837
-488233443,13582
-487861030,13749
-487488617,17184
-487116204,766
-486743791,3269
-486371378,4323
-485998965,13749
-485626552,14778
-485254139,29895
-484881726,31976
-484509313,33651
-484136900,209
-483764487,766
-483392074,2152
-483019661,3269
-482647248,3356
-482274835,3593
-481902422,4134
-481530009,4808
-481157596,4837
-480785183,8070
-480412770,8075
-480040357,10139
-479667944,11351
-479295531,13749
-478923118,13867
-478550705,14366
-478178292,17184
-477805879,17429
-477433466,766
-477061053,3269
-476688640,3354
-476316227,4134
-475943814,4808
-475571401,4812
-475198988,4837
-474826575,13749
-474454162,17184
-474081749,109
-473709336,2152
-473336923,3561
-472964510,8070
-472592097,8075
-472219684,17184
-471847271,18924
-471474858,109
-471102445,3356
-470730032,3701
-470357619,8075
-469985206,13749
-469612793,15169
-469240380,7132
-468867967,8070
-468495554,52
-468123141,209
-467750728,701
-467378315,2856
-467005902,3269
-466633489,3462
-466261076,3561
-465888663,3790
-465516250,4134
-465143837,4323
-464771424,4513
-464399011,4766
-464026598,4837
-463654185,5384
-463281772,5486
-462909359,6147
-462536946,6432
-462164533,6724
-461792120,7029
-461419707,8151
-461047294,8167
-460674881,9121
-460302468,9394
-459930055,9811
-459557642,12270
-459185229,12970
-458812816,13462
-458440403,13867
-458067990,16338
-457695577,18229
-457323164,19115
-456950751,19864
-456578338,26085
-456205925,26101
-455833512,31976
-455461099,33650
-455088686,33651
-454716273,36727
-454343860,3
-453971447,209
-453599034,680
-453226621,2711
-452854208,3265
-452481795,3269
-452109382,3320
-451736969,3462
-451364556,3561
-450992143,4134
-450619730,4230
-450247317,4513
-449874904,4766
-449502491,5617
-449130078,5668
-448757665,6388
-448385252,6461
-448012839,6478
-447640426,7015
-447268013,7132
-446895600,7303
-446523187,7718
-446150774,9271
-445778361,9394
-445405948,9808
-445033535,9908
-444661122,9929
-444288709,11427
-443916296,11456
-443543883,12271
-443171470,12302
-442799057,12322
-442426644,13767
-442054231,14742
-441681818,14777
-441309405,14778
