Milliseconds ago,Temperature
0,10
-1000,6
-2000,6
-3000,6
-4000,5
-5000,6
-6000,9
-7000,11
-8000,11
-9000,5
-10000,6
-11000,11
-12000,9
-13000,8
-14000,7
-15000,8
-16000,11
-17000,8
-18000,4
-19000,9
-20000,9
-21000,13
-22000,11
-23000,13
-24000,15
-25000,12
-26000,16
-27000,18
-28000,16
-29000,23
-30000,27
-31000,24
-32000,12
-33000,18
-34000,13
-35000,16
-36000,14
-37000,13
-38000,17
-39000,16
-40000,17
-41000,8
-42000,11
-43000,12
-44000,11
-45000,13
-46000,17
-47000,19
-48000,17
-49000,17
-50000,15
-51000,11
-52000,11
-53000,14
-54000,23
-55000,23
-56000,17
-57000,16
-58000,15
-59000,10
-60000,19
-61000,22
-62000,26
-63000,28
-64000,23
-65000,14
-66000,12
-67000,14
-68000,19
-69000,24
-70000,23
-71000,18
-72000,19
-73000,21
-74000,22
-75000,22
-76000,22
-77000,25
-78000,27
-79000,23
-80000,21
-81000,19
-82000,21
-83000,22
-84000,23
-85000,26
-86000,20
-87000,18
-88000,22
-89000,24
-90000,22
-91000,22
-92000,22
-93000,22
-94000,22
-95000,20
-96000,22
-97000,23
-98000,20
-99000,18
-100000,21
-101000,21
-102000,22
-103000,22
-104000,23
-105000,19
-106000,23
-107000,27
-108000,23
-109000,23
-110000,23
-111000,25
-112000,27
-113000,29
-114000,28
-115000,25
-116000,21
-117000,19
-118000,19
-119000,19
-120000,23
-121000,22
-122000,22
-123000,18
-124000,20
-125000,18
-126000,21
-127000,20
-128000,22
-129000,22
-130000,22
-131000,22
-132000,23
-133000,21
-134000,21
-135000,23
-136000,24
-137000,24
-138000,16
-139000,16
-140000,16
-141000,17
-142000,23
-143000,22
-144000,21
-145000,22
-146000,24
-147000,21
-148000,21
-149000,16
-150000,15
-151000,18
-152000,20
-153000,21
-154000,23
-155000,17
-156000,17
-157000,21
-158000,14
-159000,13
-160000,12
-161000,16
-162000,10
-163000,12
-164000,15
-165000,16
-166000,18
-167000,20
-168000,18
-169000,16
-170000,14
-171000,9
-172000,7
-173000,5
-174000,11
-175000,15
-176000,16
-177000,18
-178000,21
-179000,17
-180000,11
-181000,13
-182000,13
-183000,13
-184000,14
-185000,17
-186000,11
-187000,12
-188000,15
-189000,15
-190000,15
-191000,17
-192000,7
-193000,4
-194000,7
-195000,7
-196000,10
-197000,12
-198000,16
-199000,12
-200000,8
-201000,8
-202000,9
-203000,12
-204000,13
-205000,12
-206000,9
-207000,6
-208000,11
-209000,6
-210000,5
-211000,9
-212000,4
-213000,6
-214000,3
-215000,2
-216000,-1
-217000,-2
-218000,-3
-219000,0
-220000,5
-221000,9
-222000,9
-223000,6
-224000,5
-225000,3
-226000,0
-227000,-3
-228000,0
-229000,3
-230000,-1
-231000,-1
-232000,-2
-233000,-2
-234000,-3
-235000,5
-236000,8
-237000,-4
-238000,-1
-239000,4
-240000,2
-241000,11
-242000,0
-243000,-1
-244000,2
-245000,-3
-246000,1
-247000,-8
-248000,-3
-249000,-3
-250000,-9
-251000,-4
-252000,-2
-253000,-7
-254000,-3
-255000,-3
-256000,-2
-257000,-4
-258000,-6
-259000,-3
-260000,-2
-261000,-1
-262000,-1
-263000,1
-264000,2
-265000,-2
-266000,-1
-267000,2
-268000,-1
-269000,10
-270000,6
-271000,6
-272000,6
-273000,5
-274000,6
-275000,9
-276000,11
-277000,11
-278000,5
-279000,6
-280000,11
-281000,9
-282000,8
-283000,7
-284000,8
-285000,11
-286000,8
-287000,4
-288000,9
-289000,9
-290000,13
-291000,11
-292000,13
-293000,15
-294000,12
-295000,16
-296000,18
-297000,16
-298000,23
-299000,27
-300000,24
-301000,12
-302000,18
-303000,13
-304000,16
-305000,14
-306000,13
-307000,17
-308000,16
-309000,17
-310000,8
-311000,11
-312000,12
-313000,11
-314000,13
-315000,17
-316000,19
-317000,17
-318000,17
-319000,15
-320000,11
-321000,11
-322000,14
-323000,23
-324000,23
-325000,17
-326000,16
-327000,15
-328000,10
-329000,19
-330000,22
-331000,26
-332000,28
-333000,23
-334000,14
-335000,12
-336000,14
-337000,19
-338000,24
-339000,23
-340000,18
-341000,19
-342000,21
-343000,22
-344000,22
-345000,22
-346000,25
-347000,27
-348000,23
-349000,21
-350000,19
-351000,21
-352000,22
-353000,23
-354000,26
-355000,20
-356000,18
-357000,22
-358000,24
-359000,22
